ANO,SG_UF_ESC,DEPENDENCIA,N_INSCRITOS,N_PARTICIPANTES_D1,N_PARTICIPANTES_D2,N_PARTICIPANTES_D1D2,PERC_PARTIC_D1,PERC_PARTIC_D2,PERC_PARTIC_D1D2,MEDIA_CH,MEDIA_LC,MEDIA_CN,MEDIA_MT,MEDIA_REDACAO,MEDIA_GERAL,MEDIA_COMP1,MEDIA_COMP2,MEDIA_COMP3,MEDIA_COMP4,MEDIA_COMP5,N_REDACOES,N_RED_SEM_PROBLEMAS,N_RED_ANULADA,N_RED_COPIA_TEXTO_MOTIVADOR,N_RED_EM_BRANCO,N_RED_FERE_DH,N_RED_FUGA_TEMA,N_RED_TIPO_TEXTUAL,N_RED_TEXTO_INSUFICIENTE,N_RED_PARTE_DESCONECTADA,PERC_RED_SEM_PROBLEMAS,PERC_RED_ANULADA,PERC_RED_COPIA_TEXTO_MOTIVADOR,PERC_RED_EM_BRANCO,PERC_RED_FERE_DH,PERC_RED_FUGA_TEMA,PERC_RED_TIPO_TEXTUAL,PERC_RED_TEXTO_INSUFICIENTE,PERC_RED_PARTE_DESCONECTADA
2016,AC,Estadual,9212,7732,7560,7544,"83,93","82,07","81,89","501,11","492,16","448,85","441,93","489,53","475,06","110,92","104,82","98,72","105,7","69,37",7560,7340,5,13,78,11,88,6,7,12,"97,09","0,07","0,17","1,03","0,15","1,16","0,08","0,09","0,16"
2016,AC,Federal,182,165,164,164,"90,66","90,11","90,11","551,38","528,18","492,56","484,72","579,88","527,55","123,78","124,88","118,41","122,93","89,88",164,164,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2016,AC,Municipal,30,11,13,11,"36,67","43,33","36,67","479,24","484,59","431,44","428,86","427,69","451,65","101,54","90,77","84,62","93,85","56,92",13,13,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2016,AC,Privada,676,666,657,656,"98,52","97,19","97,04","580,27","557,12","529,82","530,47","634,16","566,7",134,"132,88","128,34","133,7","105,24",657,653,1,0,2,0,1,0,0,0,"99,39","0,15",0,"0,3",0,"0,15",0,0,0
2016,AL,Estadual,18161,14705,14496,14465,"80,97","79,82","79,65","493,11","481,3","444,74","440,25","488,23","469,71","111,96","105,25","98,66","104,22","68,15",14496,14078,5,22,171,16,143,6,19,36,"97,12","0,03","0,15","1,18","0,11","0,99","0,04","0,13","0,25"
2016,AL,Federal,1368,1288,1282,1281,"94,15","93,71","93,64","575,32","548,58","525,13","544,61","645,9","568,11","136,93","135,73","130,97","134,95","107,33",1282,1279,0,0,1,0,0,0,0,2,"99,77",0,0,"0,08",0,0,0,0,"0,16"
2016,AL,Municipal,67,33,33,32,"49,25","49,25","47,76","482,55","503,3","441,72","431,41","461,82","466,39","110,3","100,61","96,97","98,79","55,15",33,33,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2016,AL,Privada,6000,5845,5819,5813,"97,42","96,98","96,88","557,53","537,72","506,48","519,93","622,56","549,01","133,85","131,27","126,1","130,33","101,02",5819,5782,1,5,20,3,4,1,0,3,"99,36","0,02","0,09","0,34","0,05","0,07","0,02",0,"0,05"
2016,AM,Estadual,36809,28512,27806,27628,"77,46","75,54","75,06","500,81","490,48","448,37","444,77","491,87","475,63","115,29","106,01","99,75","106,8","64,02",27806,26850,10,84,284,29,435,10,48,56,"96,56","0,04","0,3","1,02","0,1","1,56","0,04","0,17","0,2"
2016,AM,Federal,1154,1045,1033,1030,"90,55","89,51","89,25","557,69","536,89","498,78","517,63","581,29","538,57","131,53","122,83","118,5","124,91","83,52",1033,1025,1,0,4,1,2,0,0,0,"99,23","0,1",0,"0,39","0,1","0,19",0,0,0
2016,AM,Municipal,355,193,188,187,"54,37","52,96","52,68","458,39","454,74","434,87","428,82","387,13","433,45","94,36","83,4","78,51","83,94","46,91",188,167,0,5,3,1,11,0,0,1,"88,83",0,"2,66","1,6","0,53","5,85",0,0,"0,53"
