year,area,competency_code,skill_code,skill_status,question_count,question_percentage,english_question_count,english_question_percentage,spanish_question_count,spanish_question_percentage,total_area_questions
2016,CH,1.0,1,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,1.0,2,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,1.0,3,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,1.0,4,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,1.0,5,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,2.0,6,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,2.0,7,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,2.0,8,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,2.0,9,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,2.0,10,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,3.0,11,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,3.0,12,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,3.0,13,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,3.0,14,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,3.0,15,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,4.0,16,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,4.0,17,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,4.0,18,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,4.0,19,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,4.0,20,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,5.0,21,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,5.0,22,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,5.0,23,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,5.0,24,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,5.0,25,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,6.0,26,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,6.0,27,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CH,6.0,28,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,6.0,29,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CH,6.0,30,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CN,1.0,1,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CN,1.0,2,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CN,1.0,3,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CN,1.0,4,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CN,2.0,5,INFORMADA,2.0,0.044444444444444446,,,,,45
2016,CN,2.0,7,INFORMADA,1.0,0.022222222222222223,,,,,45
2016,CN,3.0,8,INFORMADA,2.0,0.044444444444444446,,,,,45
