year,uf,dependency,area,competency_code,skill_code,skill_status,item_count,participant_count,response_count,correct_count,correct_rate
2016,AC,ESTADUAL,CH,1,1,INFORMADA,2,7723,15404,4403,0.2858348480914048
2016,AC,ESTADUAL,CH,1,2,INFORMADA,1,7705,7705,2562,0.33251135626216743
2016,AC,ESTADUAL,CH,1,3,INFORMADA,2,7720,15409,5054,0.3279901356350185
2016,AC,ESTADUAL,CH,1,4,INFORMADA,2,7720,15411,6604,0.4285250794886769
2016,AC,ESTADUAL,CH,1,5,INFORMADA,2,7722,15423,6392,0.41444595733644557
2016,AC,ESTADUAL,CH,2,6,INFORMADA,2,7721,15410,6427,0.4170668397144711
2016,AC,ESTADUAL,CH,2,7,INFORMADA,1,7690,7690,3231,0.4201560468140442
2016,AC,ESTADUAL,CH,2,8,INFORMADA,2,7720,15399,6248,0.4057406325086045
2016,AC,ESTADUAL,CH,2,9,INFORMADA,1,7708,7708,1582,0.20524130773222626
2016,AC,ESTADUAL,CH,2,10,INFORMADA,1,7696,7696,4591,0.596543659043659
2016,AC,ESTADUAL,CH,3,11,INFORMADA,1,7708,7708,3048,0.39543331603528803
2016,AC,ESTADUAL,CH,3,12,INFORMADA,1,7690,7690,715,0.0929778933680104
2016,AC,ESTADUAL,CH,3,13,INFORMADA,2,7719,15395,3368,0.21877232867814225
2016,AC,ESTADUAL,CH,3,14,INFORMADA,2,7723,15403,4628,0.30046094916574695
2016,AC,ESTADUAL,CH,3,15,INFORMADA,1,7702,7702,4314,0.5601142560373928
2016,AC,ESTADUAL,CH,4,16,INFORMADA,2,7720,15403,5363,0.34817892618321106
2016,AC,ESTADUAL,CH,4,17,INFORMADA,1,7708,7708,1760,0.2283341982355994
2016,AC,ESTADUAL,CH,4,18,INFORMADA,2,7719,15394,6404,0.4160062361959205
2016,AC,ESTADUAL,CH,4,19,INFORMADA,2,7723,15406,4759,0.3089056211865507
2016,AC,ESTADUAL,CH,4,20,INFORMADA,1,7704,7704,3050,0.3958982346832814
2016,AC,ESTADUAL,CH,5,21,INFORMADA,2,7721,15404,4324,0.2807063100493378
2016,AC,ESTADUAL,CH,5,22,INFORMADA,1,7697,7697,2995,0.38911264128881384
2016,AC,ESTADUAL,CH,5,23,INFORMADA,1,7702,7702,2130,0.27655154505323293
2016,AC,ESTADUAL,CH,5,24,INFORMADA,1,7703,7703,559,0.07256912891081396
2016,AC,ESTADUAL,CH,5,25,INFORMADA,1,7701,7701,1879,0.2439942864563044
2016,AC,ESTADUAL,CH,6,26,INFORMADA,2,7721,15394,5790,0.3761205664544628
2016,AC,ESTADUAL,CH,6,27,INFORMADA,2,7718,15396,5661,0.367692907248636
2016,AC,ESTADUAL,CH,6,28,INFORMADA,1,7707,7707,3221,0.41793175035681845
2016,AC,ESTADUAL,CH,6,29,INFORMADA,1,7702,7702,2168,0.2814853284861075
2016,AC,ESTADUAL,CH,6,30,INFORMADA,2,7721,15406,2988,0.1939504089315851
2016,AC,ESTADUAL,CN,1,1,INFORMADA,2,7712,15379,2969,0.19305546524481434
2016,AC,ESTADUAL,CN,1,2,INFORMADA,2,7703,15362,3064,0.19945319619841168
2016,AC,ESTADUAL,CN,1,3,INFORMADA,2,7710,15371,4469,0.2907423069416434
2016,AC,ESTADUAL,CN,1,4,INFORMADA,1,7688,7688,749,0.09742455775234131
2016,AC,ESTADUAL,CN,2,5,INFORMADA,2,7711,15375,3516,0.2286829268292683
2016,AC,ESTADUAL,CN,2,7,INFORMADA,1,7690,7690,1316,0.17113133940182054
2016,AC,ESTADUAL,CN,3,8,INFORMADA,2,7714,15378,5119,0.3328781375991676
2016,AC,ESTADUAL,CN,3,9,INFORMADA,1,7684,7684,1766,0.22982821447162935
2016,AC,ESTADUAL,CN,3,10,INFORMADA,1,7690,7690,2543,0.3306892067620286
2016,AC,ESTADUAL,CN,3,11,INFORMADA,1,7699,7699,1574,0.20444213534225225
2016,AC,ESTADUAL,CN,3,12,INFORMADA,1,7691,7691,2904,0.37758418931218307
2016,AC,ESTADUAL,CN,4,13,INFORMADA,1,7685,7685,1948,0.2534808067664281
2016,AC,ESTADUAL,CN,4,14,INFORMADA,2,7711,15368,3502,0.22787610619469026
2016,AC,ESTADUAL,CN,4,15,INFORMADA,2,7712,15361,3740,0.2434737321788946
2016,AC,ESTADUAL,CN,4,16,INFORMADA,1,7683,7683,959,0.12482103345047507
2016,AC,ESTADUAL,CN,5,17,INFORMADA,4,7713,30716,6193,0.20162130485740332
2016,AC,ESTADUAL,CN,5,18,INFORMADA,2,7712,15360,2832,0.184375
2016,AC,ESTADUAL,CN,5,19,INFORMADA,2,7711,15380,2558,0.16631989596879063
2016,AC,ESTADUAL,CN,6,20,INFORMADA,2,7714,15367,3556,0.23140495867768596
2016,AC,ESTADUAL,CN,6,21,INFORMADA,1,7685,7685,1481,0.19271307742355237
2016,AC,ESTADUAL,CN,6,22,INFORMADA,1,7677,7677,861,0.11215318483782728
2016,AC,ESTADUAL,CN,6,23,INFORMADA,1,7690,7690,1864,0.2423927178153446
2016,AC,ESTADUAL,CN,7,24,INFORMADA,2,7716,15393,3225,0.2095108166049503
2016,AC,ESTADUAL,CN,7,25,INFORMADA,2,7709,15366,3214,0.20916308733567618
2016,AC,ESTADUAL,CN,7,26,INFORMADA,1,7683,7683,1517,0.1974489131849538
2016,AC,ESTADUAL,CN,7,27,INFORMADA,2,7713,15366,2307,0.15013666536509176
2016,AC,ESTADUAL,CN,8,28,INFORMADA,1,7688,7688,2262,0.2942247658688866
2016,AC,ESTADUAL,CN,8,29,INFORMADA,1,7691,7691,2914,0.37888441034975945
2016,AC,ESTADUAL,CN,8,30,INFORMADA,1,7677,7677,1667,0.21714211280448092
2016,AC,ESTADUAL,LC,1,1,INFORMADA,3,7544,22559,4310,0.19105456802163218
2016,AC,ESTADUAL,LC,1,2,INFORMADA,1,7243,7243,1280,0.17672235261631922
2016,AC,ESTADUAL,LC,1,3,INFORMADA,2,7540,15038,2441,0.16232211730283283
2016,AC,ESTADUAL,LC,1,4,INFORMADA,1,7508,7508,1157,0.15410229088971764
