area,name,area_name,competency_code,competency_description,skill_code,skill_description
CH,H1,Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades.,1,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.
CH,H2,Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades.,2,Analisar a produção da memória pelas sociedades humanas.
CH,H3,Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades.,3,Associar manifestações culturais do presente aos seus processos históricos.
CH,H4,Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades.,4,Comparar pontos de vista expressos em diferentes fontes sobre aspectos da cultura.
CH,H5,Ciências Humanas e suas Tecnologias,1,Compreender os elementos culturais que constituem as identidades.,5,Identificar manifestações ou representações da diversidade do patrimônio cultural e artístico.
CH,H6,Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,6,Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos.
CH,H7,Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,7,Identificar significados histórico-geográficos das relações de poder entre as nações.
CH,H8,Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,8,Analisar a ação dos Estados nacionais na dinâmica dos fluxos populacionais e problemas socioeconômicos.
CH,H9,Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,9,Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas.
CH,H10,Ciências Humanas e suas Tecnologias,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,10,Reconhecer a dinâmica dos movimentos sociais e a importância da participação coletiva.
CH,H11,Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas.",11,Identificar registros de práticas de grupos sociais no tempo e no espaço.
CH,H12,Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas.",12,Analisar o papel da justiça como instituição na organização das sociedades.
CH,H13,Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas.",13,Analisar a atuação de movimentos sociais em processos de disputa pelo poder.
CH,H14,Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas.",14,Comparar diferentes pontos de vista sobre fatos histórico-geográficos.
CH,H15,Ciências Humanas e suas Tecnologias,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas.",15,"Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais."
CH,H16,Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",16,Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e da vida social.
CH,H17,Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",17,Analisar fatores que explicam o impacto das novas tecnologias na territorialização da produção.
CH,H18,Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",18,Analisar processos de produção ou circulação de riquezas e suas implicações socioespaciais.
CH,H19,Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",19,Reconhecer transformações técnicas e tecnológicas relacionadas aos espaços rural e urbano.
CH,H20,Ciências Humanas e suas Tecnologias,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",20,Selecionar argumentos sobre modificações impostas pelas tecnologias à vida social e ao trabalho.
CH,H21,Ciências Humanas e suas Tecnologias,5,Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia.,21,Identificar o papel dos meios de comunicação na construção da vida social.
CH,H22,Ciências Humanas e suas Tecnologias,5,Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia.,22,Analisar lutas sociais e conquistas relacionadas a mudanças em legislações ou políticas públicas.
CH,H23,Ciências Humanas e suas Tecnologias,5,Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia.,23,Analisar a importância dos valores éticos na estruturação política das sociedades.
CH,H24,Ciências Humanas e suas Tecnologias,5,Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia.,24,Relacionar cidadania e democracia na organização das sociedades.
CH,H25,Ciências Humanas e suas Tecnologias,5,Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia.,25,Identificar estratégias que promovam formas de inclusão social.
CH,H26,Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",26,Identificar processos de ocupação dos meios físicos e relações da vida humana com a paisagem.
CH,H27,Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",27,Analisar criticamente as interações da sociedade com o meio físico.
CH,H28,Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",28,Relacionar o uso das tecnologias com impactos socioambientais.
CH,H29,Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",29,Reconhecer a função dos recursos naturais na produção do espaço geográfico.
CH,H30,Ciências Humanas e suas Tecnologias,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",30,Avaliar as relações entre preservação e degradação da vida no planeta.
CN,H1,Ciências da Natureza e suas Tecnologias,1,Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas.,1,Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios.
CN,H2,Ciências da Natureza e suas Tecnologias,1,Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas.,2,Associar a solução de problemas ao correspondente desenvolvimento científico e tecnológico.
CN,H3,Ciências da Natureza e suas Tecnologias,1,Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas.,3,Confrontar interpretações científicas com interpretações baseadas no senso comum.
CN,H4,Ciências da Natureza e suas Tecnologias,1,Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas.,4,Avaliar propostas de intervenção no ambiente considerando qualidade de vida e sustentabilidade.
CN,H5,Ciências da Natureza e suas Tecnologias,2,Identificar a presença e aplicar as tecnologias associadas às ciências naturais em diferentes contextos.,5,Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.
CN,H6,Ciências da Natureza e suas Tecnologias,2,Identificar a presença e aplicar as tecnologias associadas às ciências naturais em diferentes contextos.,6,Relacionar informações para compreender manuais de aparelhos ou sistemas tecnológicos.
CN,H7,Ciências da Natureza e suas Tecnologias,2,Identificar a presença e aplicar as tecnologias associadas às ciências naturais em diferentes contextos.,7,"Selecionar testes, parâmetros ou critérios para comparação de materiais e produtos."
CN,H8,Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais.,8,"Identificar etapas em processos de obtenção, transformação, utilização ou reciclagem de recursos."
CN,H9,Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais.,9,Compreender a importância dos ciclos biogeoquímicos ou do fluxo de energia para a vida.
CN,H10,Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais.,10,Analisar perturbações ambientais e seus efeitos.
CN,H11,Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais.,11,"Reconhecer benefícios, limitações e aspectos éticos da biotecnologia."
CN,H12,Ciências da Natureza e suas Tecnologias,3,Associar intervenções que resultam em degradação ou conservação ambiental a processos produtivos e sociais.,12,Avaliar impactos ambientais decorrentes de atividades sociais ou econômicas.
CN,H13,Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana.",13,Reconhecer mecanismos de transmissão da vida.
CN,H14,Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana.",14,Identificar padrões em fenômenos e processos vitais dos organismos.
CN,H15,Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana.",15,Interpretar modelos e experimentos para explicar fenômenos ou processos biológicos.
CN,H16,Ciências da Natureza e suas Tecnologias,4,"Compreender interações entre organismos e ambiente, em particular aquelas relacionadas à saúde humana.",16,Compreender o papel da evolução na produção de padrões e processos biológicos.
CN,H17,Ciências da Natureza e suas Tecnologias,5,Entender métodos e procedimentos próprios das ciências naturais e aplicá-los em diferentes contextos.,17,Relacionar informações apresentadas em diferentes formas de linguagem nas ciências naturais.
CN,H18,Ciências da Natureza e suas Tecnologias,5,Entender métodos e procedimentos próprios das ciências naturais e aplicá-los em diferentes contextos.,18,"Relacionar propriedades de produtos, sistemas ou procedimentos tecnológicos às suas finalidades."
CN,H19,Ciências da Natureza e suas Tecnologias,5,Entender métodos e procedimentos próprios das ciências naturais e aplicá-los em diferentes contextos.,19,"Avaliar métodos, processos ou procedimentos das ciências naturais para solucionar problemas."
CN,H20,Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",20,"Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes."
CN,H21,Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",21,Utilizar leis físicas ou químicas para interpretar processos naturais ou tecnológicos.
CN,H22,Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",22,Compreender fenômenos decorrentes da interação entre radiação e matéria.
CN,H23,Ciências da Natureza e suas Tecnologias,6,"Apropriar-se de conhecimentos da física para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",23,"Avaliar possibilidades de geração, uso ou transformação de energia."
CN,H24,Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",24,Utilizar códigos e nomenclatura da química para caracterizar materiais e transformações.
CN,H25,Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",25,Caracterizar materiais ou substâncias e seus processos de obtenção ou produção.
CN,H26,Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",26,"Avaliar implicações sociais, ambientais ou econômicas da produção e consumo de recursos."
CN,H27,Ciências da Natureza e suas Tecnologias,7,"Apropriar-se de conhecimentos da química para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",27,Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos.
CN,H28,Ciências da Natureza e suas Tecnologias,8,"Apropriar-se de conhecimentos da biologia para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",28,Associar características adaptativas dos organismos com seu modo de vida.
CN,H29,Ciências da Natureza e suas Tecnologias,8,"Apropriar-se de conhecimentos da biologia para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",29,Interpretar experimentos ou técnicas que utilizam seres vivos.
CN,H30,Ciências da Natureza e suas Tecnologias,8,"Apropriar-se de conhecimentos da biologia para interpretar, avaliar ou planejar intervenções científico-tecnológicas.",30,"Avaliar propostas voltadas à preservação e à saúde individual, coletiva ou ambiental."
LC,H1,"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",1,Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracterização dos sistemas de comunicação.
LC,H2,"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",2,Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.
