ID da viagem (Interno),Data da ida,Data do retorno,Duração,Valor Total  - Trechos Longos (R$),Valor Total - Trechos Curtos (R$),Valor Total Hospedagem (R$),Valor Total da Viagem (R$),Valor Total da Viagem (Pontos)
1,04/01/2026,07/01/2026,3,"3.989,72","200,00","1.404,22","5.593,94",0
2,07/01/2026,14/01/2026,7,"3.156,76","100,00","1.131,76","4.388,52",0
3,09/01/2026,14/01/2026,5,"3.156,76","200,00","1.668,98","5.025,74",0
4,11/01/2026,13/01/2026,2,"14.356,82","0,00","2.617,32","16.974,14",0
5,14/01/2026,14/01/2026,0,"2.610,77","0,00","0,00","2.610,77",0
6,15/01/2026,16/01/2026,1,"12.807,79","0,00","0,00","12.807,79",0
7,19/01/2026,19/01/2026,0,"6.277,36","0,00","456,00","6.733,36",0
8,24/01/2026,24/01/2026,0,"1.467,99","0,00","0,00","1.467,99",0
9,29/01/2026,29/01/2026,0,"7.319,28","0,00","0,00","7.319,28",0
10,19/02/2026,20/02/2026,1,"9.988,95","0,00","0,00","9.988,95",0
11,23/02/2026,25/02/2026,2,"14.666,30","0,00","3.643,50","18.309,80",0
12,01/03/2026,04/03/2026,3,"4.482,76","200,00","1.013,49","5.696,25",0
13,02/03/2026,04/03/2026,2,"10.358,73","0,00","2.145,61","12.504,34",0
14,03/03/2026,05/03/2026,2,"7.881,60","0,00","1.007,36","8.888,96",0
15,06/03/2026,06/03/2026,0,"10.366,44","0,00","0,00","10.366,44",0
16,10/03/2026,11/03/2026,1,"14.115,66","0,00","1.944,27","16.059,93",0
17,12/03/2026,14/03/2026,2,"4.012,76","200,00","576,02","4.788,78",0
18,16/03/2026,16/03/2026,0,"11.491,86","0,00","2.800,96","14.292,82",0
19,17/03/2026,17/03/2026,0,"4.960,04","0,00","0,00","4.960,04",0
20,17/03/2026,17/03/2026,0,"651,68","0,00","2.568,52","3.220,20",265.200
21,18/03/2026,20/03/2026,2,"6.142,00","0,00","576,20","6.718,20",0
22,18/03/2026,20/03/2026,2,"16.149,21","0,00","0,00","16.149,21",265.200
23,23/03/2026,23/03/2026,0,"20.329,17","0,00","0,00","20.329,17",0
24,20/03/2026,27/03/2026,7,"9.037,52","0,00","2.041,00","11.078,52",0
25,30/03/2026,01/04/2026,2,"8.240,08","0,00","0,00","8.240,08",0
26,06/04/2026,07/04/2026,1,"13.383,47","0,00","1.980,72","15.364,19",0
27,08/04/2026,10/04/2026,2,"3.811,00","0,00","0,00","3.811,00",0
28,06/04/2026,10/04/2026,4,"10.577,22","500,00","4.036,00","15.113,22",518.000
29,14/04/2026,15/04/2026,1,"12.604,19","0,00","1.796,22","14.400,41",0
30,15/04/2026,15/04/2026,0,"5.208,20","0,00","0,00","5.208,20",0
31,22/04/2026,24/04/2026,2,"3.242,00","0,00","0,00","3.242,00",0
32,24/04/2026,25/04/2026,1,"4.404,32","200,00","1.096,86","5.701,18",0
33,28/04/2026,29/04/2026,1,"15.311,98","0,00","1.467,09","16.779,07",0
34,06/05/2026,09/05/2026,3,"5.702,58","0,00","0,00","5.702,58",0
35,05/05/2026,06/05/2026,1,"108,18","0,00","369,00","477,18",228.000
36,06/05/2026,07/05/2026,1,"11.739,06","0,00","0,00","11.739,06",0
37,10/05/2026,12/05/2026,2,"3.092,53","200,00","520,00","3.812,53",0
38,17/05/2026,20/05/2026,3,"3.041,27","200,00","983,50","4.224,77",0
39,21/05/2026,21/05/2026,0,"0,00","0,00","253,51","253,51",0
40,19/05/2026,19/05/2026,0,"2.831,00","0,00","0,00","2.831,00",0
41,22/05/2026,28/05/2026,6,"17.205,81","0,00","2.015,70","19.221,51",0
43,03/06/2026,03/06/2026,0,"1.597,67","0,00","0,00","1.597,67",0
44,12/06/2026,12/06/2026,0,"85,00","1.699,98","14.009,69","15.794,67",0
45,11/06/2026,13/06/2026,2,"2.766,39","0,00","704,00","3.470,39",0
46,14/06/2026,24/06/2026,10,"26.670,13","0,00","8.635,68","35.305,81",286.000
47,24/06/2026,04/07/2026,10,"17.296,26","0,00","2.663,10","19.959,36",0
48,22/06/2026,23/06/2026,1,"76,30","0,00","0,00","76,30",102.300
49,23/06/2026,26/06/2026,3,"1.418,41","0,00","0,00","1.418,41",57.800
50,28/06/2026,02/07/2026,4,"10.411,20","0,00","0,00","10.411,20",67.000
42,Apenas translado,Apenas translado,0,"0,00","499,98","0,00","499,98",0
,0,0,0,"0,00","0,00","0,00","0,00",0
